epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.03900521248579025,0.008821740746498108,0.02622867375612259,0.006361883599311113
1,0.0010000000474974513,0.027821989730000496,0.008689183741807938,0.023231174796819687,0.00618312181904912
2,0.0010000000474974513,0.023827804252505302,0.008174210786819458,0.020226508378982544,0.006451814901083708
3,0.0010000000474974513,0.019969161599874496,0.007480708882212639,0.01610507443547249,0.005159385967999697
4,0.0010000000474974513,0.01720607839524746,0.006905075162649155,0.014811274595558643,0.004984503611922264
5,0.0010000000474974513,0.01548739429563284,0.006580159068107605,0.013282451778650284,0.004771197214722633
6,0.0010000000474974513,0.0143412621691823,0.0063053700141608715,0.01268052775412798,0.004719272255897522
7,0.0010000000474974513,0.013611871749162674,0.006157041992992163,0.01168034877628088,0.004592334385961294
8,0.0010000000474974513,0.01297109667211771,0.005995676852762699,0.011433908715844154,0.004562975373119116
9,0.0010000000474974513,0.012601220980286598,0.005872927140444517,0.010821712203323841,0.004355980083346367
10,0.0010000000474974513,0.012217606417834759,0.005798429250717163,0.01052810251712799,0.004268529359251261
11,0.0010000000474974513,0.01194857433438301,0.005687859375029802,0.010310346260666847,0.004231354221701622
12,0.0010000000474974513,0.011639285832643509,0.0056088087148964405,0.01024644449353218,0.004184314981102943
13,0.0010000000474974513,0.011430383659899235,0.005539343226701021,0.009602135047316551,0.003997291438281536
14,0.0010000000474974513,0.011200962588191032,0.005474500823765993,0.009688678197562695,0.004001237452030182
15,0.0010000000474974513,0.011003336869180202,0.0054082139395177364,0.009863264858722687,0.004112564492970705
16,0.0010000000474974513,0.010901093482971191,0.005389028694480658,0.009295333176851273,0.003917793743312359
17,0.0010000000474974513,0.0107529666274786,0.005337386392056942,0.009253762662410736,0.003916096407920122
18,0.0010000000474974513,0.010696846060454845,0.005307198502123356,0.00931356381624937,0.0038703209720551968
19,0.0010000000474974513,0.010569444857537746,0.005267455242574215,0.009294130839407444,0.003860967932268977
