epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.01976492814719677,0.008077210746705532,0.011248156428337097,0.004942191764712334
1,0.0010000000474974513,0.011725261807441711,0.006266183219850063,0.00925713311880827,0.0041283811442554
2,0.0010000000474974513,0.010677294805645943,0.0059030079282820225,0.009062482975423336,0.004198325332254171
3,0.0010000000474974513,0.01038418523967266,0.0056982520036399364,0.00895245373249054,0.004096264950931072
4,0.0010000000474974513,0.010175523348152637,0.005516235250979662,0.008762585930526257,0.0038877101615071297
5,0.0010000000474974513,0.010072164237499237,0.005462792236357927,0.008846156299114227,0.004136213567107916
6,0.0010000000474974513,0.010004482232034206,0.005445296876132488,0.008705099113285542,0.003932357300072908
7,0.0010000000474974513,0.009909199550747871,0.005383445881307125,0.008689901791512966,0.0039736744947731495
8,0.0010000000474974513,0.00975460559129715,0.0052384682931005955,0.008576706051826477,0.003911479376256466
9,0.0010000000474974513,0.009701373055577278,0.005268681328743696,0.008469528518617153,0.0037610565777868032
10,0.0010000000474974513,0.009625883772969246,0.005238308105617762,0.008440042845904827,0.003819841891527176
11,0.0010000000474974513,0.00953454989939928,0.005159298423677683,0.008484737016260624,0.003918447997421026
12,0.0010000000474974513,0.00949953868985176,0.005161858629435301,0.00833211187273264,0.00373517582193017
13,0.0010000000474974513,0.009468632750213146,0.005148711614310741,0.00835464894771576,0.0038356585428118706
14,0.0010000000474974513,0.009429588913917542,0.005121296271681786,0.008261850103735924,0.0037399304565042257
15,0.0010000000474974513,0.009394467808306217,0.005095524713397026,0.008256323635578156,0.003755999496206641
16,0.0010000000474974513,0.009386394172906876,0.005110098980367184,0.00817674770951271,0.003645610297098756
17,0.0010000000474974513,0.009339011274278164,0.005056778900325298,0.008188028819859028,0.003674394218251109
18,0.0010000000474974513,0.009320402517914772,0.0050466288812458515,0.008139688521623611,0.0036425383295863867
19,0.0010000000474974513,0.009293329901993275,0.005019864533096552,0.008129346184432507,0.003632083535194397
