epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.01633368246257305,0.007319496478885412,0.009139535948634148,0.004174456000328064
1,0.0010000000474974513,0.010327275842428207,0.005629480816423893,0.008327487856149673,0.0040280804969370365
2,0.0010000000474974513,0.009434184990823269,0.005278836004436016,0.007861748337745667,0.004059741739183664
3,0.0010000000474974513,0.008723308332264423,0.004994232207536697,0.0072286082431674,0.003959203138947487
4,0.0010000000474974513,0.008264928124845028,0.004843151196837425,0.006993081886321306,0.004079993814229965
5,0.0010000000474974513,0.007908574305474758,0.004727216437458992,0.006747346371412277,0.003896615467965603
6,0.0010000000474974513,0.007668542675673962,0.004626071080565453,0.006420995574444532,0.0036882965359836817
7,0.0010000000474974513,0.007489994168281555,0.004555939696729183,0.006404022220522165,0.003755284706130624
8,0.0010000000474974513,0.007336706388741732,0.00449238158762455,0.0063399686478078365,0.0036896246019750834
9,0.0010000000474974513,0.007253452204167843,0.004450608044862747,0.006394943222403526,0.003692666767165065
10,0.0010000000474974513,0.007184246089309454,0.004407869651913643,0.006061261985450983,0.0033898965921252966
11,0.0010000000474974513,0.007076147943735123,0.004359224811196327,0.006251934450119734,0.003552328562363982
12,0.0010000000474974513,0.007028106600046158,0.004328679293394089,0.0060239569284021854,0.0033189915120601654
13,0.0010000000474974513,0.00695618474856019,0.004300973378121853,0.006024535745382309,0.0032397382892668247
14,0.0010000000474974513,0.006901222746819258,0.004271097481250763,0.006057478487491608,0.003311354434117675
15,0.0005000000237487257,0.006705592852085829,0.004129747394472361,0.005703119095414877,0.0031216226052492857
16,0.0005000000237487257,0.006684234365820885,0.004134118556976318,0.005688859149813652,0.0031221755780279636
17,0.0005000000237487257,0.006661257706582546,0.004130604211241007,0.005681612063199282,0.0031122404616326094
18,0.0005000000237487257,0.006638798397034407,0.004125635139644146,0.0056466348469257355,0.003102952614426613
19,0.0005000000237487257,0.0066205658949911594,0.004115823190659285,0.005692492704838514,0.0031170230358839035
