epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0005000000237487257,0.025942910462617874,0.009108742699027061,0.01946793496608734,0.007717222906649113
1,0.0004966119886375964,0.019539188593626022,0.008828677237033844,0.016124365851283073,0.006232906598597765
2,0.00048649703967384994,0.017863037064671516,0.00817937683314085,0.015548773109912872,0.006129064131528139
3,0.0004699310811702162,0.017355965450406075,0.007908675819635391,0.01514851488173008,0.005833001807332039
4,0.0004473659791983664,0.017091382294893265,0.007812168914824724,0.01490415446460247,0.005658096633851528
5,0.00041941725066863,0.016601651906967163,0.007498776540160179,0.01442041713744402,0.0054978253319859505
6,0.0003868472413159907,0.015426082536578178,0.007324743550270796,0.01414865255355835,0.00545646995306015
7,0.00035054440377280116,0.014652227982878685,0.006995550822466612,0.013960476964712143,0.005498405545949936
8,0.0003114989958703518,0.014219877310097218,0.006754371803253889,0.013793181627988815,0.005413548555225134
9,0.0002707760431803763,0.013928335160017014,0.006602232810109854,0.013619821518659592,0.005350234918296337
10,0.00022948638070374727,0.013791555538773537,0.006586009636521339,0.01351178903132677,0.005281365010887384
11,0.00018875626847147942,0.013610467314720154,0.0064686015248298645,0.013337208889424801,0.005235477350652218
12,0.00014969671610742807,0.013462480157613754,0.0063821133226156235,0.013171777129173279,0.005189576651901007
13,0.00011337319301674142,0.013357440009713173,0.006337833125144243,0.013069719076156616,0.005371958017349243
14,8.077648817561567e-05,0.013261743821203709,0.006280016154050827,0.012999883852899075,0.005239635705947876
15,5.279575998429209e-05,0.013195285573601723,0.006255526095628738,0.012876525521278381,0.005086037330329418
16,3.019425093953032e-05,0.013144579716026783,0.006222557742148638,0.012696783989667892,0.005033911671489477
17,1.3588468391390052e-05,0.013108902610838413,0.006203382275998592,0.01252697966992855,0.004983279854059219
18,3.431376626394922e-06,0.01309320330619812,0.006193005014210939,0.012595768086612225,0.005054982844740152
19,3.466117323713824e-11,0.013086669147014618,0.00618932256475091,0.012623889371752739,0.0050429729744791985
